,precision,recall,f1-score,support
0,0.227,0.088,0.127,954.000
1,0.287,0.367,0.322,1205.000
2,0.347,0.238,0.282,147.000
3,0.158,0.217,0.183,668.000
4,0.000,0.000,0.000,248.000
5,0.000,0.000,0.000,67.000
6,0.028,0.143,0.046,70.000
accuracy,0.213,0.213,0.213,0.213
macro avg,0.149,0.150,0.137,3359.000
weighted avg,0.215,0.213,0.201,3359.000
