,precision,recall,f1-score,support
0,0.000,0.000,0.000,0.000
1,0.237,0.992,0.383,363.000
2,0.327,0.118,0.173,408.000
3,0.439,0.071,0.122,609.000
4,0.188,0.020,0.036,302.000
5,0.000,0.000,0.000,82.000
7,0.000,0.000,0.000,36.000
accuracy,0.254,0.254,0.254,0.254
macro avg,0.170,0.171,0.102,1800.000
weighted avg,0.302,0.254,0.164,1800.000
