,precision,recall,f1-score,support
0,0.386,0.085,0.139,954.000
1,0.293,0.381,0.331,1205.000
2,0.000,0.000,0.000,147.000
3,0.149,0.302,0.199,668.000
4,0.198,0.169,0.183,248.000
5,0.000,0.000,0.000,67.000
6,0.000,0.000,0.000,70.000
accuracy,0.233,0.233,0.233,0.233
macro avg,0.146,0.134,0.122,3359.000
weighted avg,0.259,0.233,0.211,3359.000
