levels,algs,ratios,variable,times
16,z_hdf5,2.24,FLNS,0
16,z_hdf5,2.24,FLNS,1
16,z_hdf5,2.24,FLNS,2
16,z_hdf5,2.24,FLNS,3
16,z_hdf5,2.24,FLNS,4
16,z_hdf5,2.24,FLNS,5
16,z_hdf5,2.24,FLNS,6
16,z_hdf5,2.24,FLNS,7
16,z_hdf5,2.24,FLNS,8
16,z_hdf5,2.24,FLNS,9
16,z_hdf5,2.24,FLNS,10
16,z_hdf5,2.24,FLNS,11
16,z_hdf5,2.24,FLNS,12
16,z_hdf5,2.24,FLNS,13
16,z_hdf5,2.24,FLNS,14
16,z_hdf5,2.24,FLNS,15
16,z_hdf5,2.24,FLNS,16
16,z_hdf5,2.24,FLNS,17
16,z_hdf5,2.24,FLNS,18
16,z_hdf5,2.24,FLNS,19
16,z_hdf5,2.24,FLNS,20
16,z_hdf5,2.24,FLNS,21
16,z_hdf5,2.24,FLNS,22
16,z_hdf5,2.24,FLNS,23
16,z_hdf5,2.24,FLNS,24
16,z_hdf5,2.24,FLNS,25
16,z_hdf5,2.24,FLNS,26
16,z_hdf5,2.24,FLNS,27
16,z_hdf5,2.24,FLNS,28
16,z_hdf5,2.24,FLNS,29
16,z_hdf5,2.24,FLNS,30
16,z_hdf5,2.24,FLNS,31
16,z_hdf5,2.24,FLNS,32
16,z_hdf5,2.24,FLNS,33
16,z_hdf5,2.24,FLNS,34
16,z_hdf5,2.24,FLNS,35
16,z_hdf5,2.24,FLNS,36
16,z_hdf5,2.24,FLNS,37
16,z_hdf5,2.24,FLNS,38
16,z_hdf5,2.24,FLNS,39
16,z_hdf5,2.24,FLNS,40
16,z_hdf5,2.24,FLNS,41
16,z_hdf5,2.24,FLNS,42
16,z_hdf5,2.24,FLNS,43
16,z_hdf5,2.24,FLNS,44
16,z_hdf5,2.24,FLNS,45
16,z_hdf5,2.24,FLNS,46
16,z_hdf5,2.24,FLNS,47
16,z_hdf5,2.24,FLNS,48
16,z_hdf5,2.24,FLNS,49
16,z_hdf5,2.24,FLNS,50
16,z_hdf5,2.24,FLNS,51
16,z_hdf5,2.24,FLNS,52
16,z_hdf5,2.24,FLNS,53
16,z_hdf5,2.24,FLNS,54
16,z_hdf5,2.24,FLNS,55
16,z_hdf5,2.24,FLNS,56
16,z_hdf5,2.24,FLNS,57
16,z_hdf5,2.24,FLNS,58
16,z_hdf5,2.24,FLNS,59
18,z_hdf5,2.02,FLNT,0
18,z_hdf5,2.02,FLNT,1
18,z_hdf5,2.02,FLNT,2
18,z_hdf5,2.02,FLNT,3
18,z_hdf5,2.02,FLNT,4
18,z_hdf5,2.02,FLNT,5
18,z_hdf5,2.02,FLNT,6
18,z_hdf5,2.02,FLNT,7
18,z_hdf5,2.02,FLNT,8
18,z_hdf5,2.02,FLNT,9
18,z_hdf5,2.02,FLNT,10
18,z_hdf5,2.02,FLNT,11
18,z_hdf5,2.02,FLNT,12
18,z_hdf5,2.02,FLNT,13
18,z_hdf5,2.02,FLNT,14
18,z_hdf5,2.02,FLNT,15
18,z_hdf5,2.02,FLNT,16
18,z_hdf5,2.02,FLNT,17
18,z_hdf5,2.02,FLNT,18
18,z_hdf5,2.02,FLNT,19
18,z_hdf5,2.02,FLNT,20
18,z_hdf5,2.02,FLNT,21
18,z_hdf5,2.02,FLNT,22
18,z_hdf5,2.02,FLNT,23
18,z_hdf5,2.02,FLNT,24
18,z_hdf5,2.02,FLNT,25
18,z_hdf5,2.02,FLNT,26
18,z_hdf5,2.02,FLNT,27
18,z_hdf5,2.02,FLNT,28
18,z_hdf5,2.02,FLNT,29
18,z_hdf5,2.02,FLNT,30
20,z_hdf5,1.69,FLNT,31
18,z_hdf5,2.02,FLNT,32
18,z_hdf5,2.02,FLNT,33
18,z_hdf5,2.02,FLNT,34
18,z_hdf5,2.02,FLNT,35
18,z_hdf5,2.02,FLNT,36
18,z_hdf5,2.02,FLNT,37
18,z_hdf5,2.02,FLNT,38
18,z_hdf5,2.02,FLNT,39
18,z_hdf5,2.02,FLNT,40
18,z_hdf5,2.02,FLNT,41
18,z_hdf5,2.02,FLNT,42
18,z_hdf5,2.02,FLNT,43
18,z_hdf5,2.02,FLNT,44
18,z_hdf5,2.02,FLNT,45
18,z_hdf5,2.02,FLNT,46
18,z_hdf5,2.02,FLNT,47
18,z_hdf5,2.02,FLNT,48
18,z_hdf5,2.02,FLNT,49
18,z_hdf5,2.02,FLNT,50
18,z_hdf5,2.02,FLNT,51
18,z_hdf5,2.02,FLNT,52
18,z_hdf5,2.02,FLNT,53
18,z_hdf5,2.02,FLNT,54
18,z_hdf5,2.02,FLNT,55
18,z_hdf5,2.02,FLNT,56
18,z_hdf5,2.02,FLNT,57
18,z_hdf5,2.02,FLNT,58
18,z_hdf5,2.02,FLNT,59
16,z_hdf5,2.23,FSNS,0
16,z_hdf5,2.23,FSNS,1
16,z_hdf5,2.23,FSNS,2
16,z_hdf5,2.23,FSNS,3
16,z_hdf5,2.23,FSNS,4
16,z_hdf5,2.23,FSNS,5
16,z_hdf5,2.23,FSNS,6
16,z_hdf5,2.23,FSNS,7
16,z_hdf5,2.23,FSNS,8
16,z_hdf5,2.23,FSNS,9
16,z_hdf5,2.23,FSNS,10
16,z_hdf5,2.23,FSNS,11
16,z_hdf5,2.23,FSNS,12
16,z_hdf5,2.23,FSNS,13
16,z_hdf5,2.23,FSNS,14
16,z_hdf5,2.23,FSNS,15
16,z_hdf5,2.23,FSNS,16
16,z_hdf5,2.23,FSNS,17
16,z_hdf5,2.23,FSNS,18
16,z_hdf5,2.23,FSNS,19
16,z_hdf5,2.23,FSNS,20
16,z_hdf5,2.23,FSNS,21
16,z_hdf5,2.23,FSNS,22
16,z_hdf5,2.23,FSNS,23
16,z_hdf5,2.23,FSNS,24
16,z_hdf5,2.23,FSNS,25
16,z_hdf5,2.23,FSNS,26
16,z_hdf5,2.23,FSNS,27
16,z_hdf5,2.23,FSNS,28
16,z_hdf5,2.23,FSNS,29
16,z_hdf5,2.23,FSNS,30
16,z_hdf5,2.23,FSNS,31
16,z_hdf5,2.23,FSNS,32
16,z_hdf5,2.23,FSNS,33
16,z_hdf5,2.23,FSNS,34
16,z_hdf5,2.23,FSNS,35
16,z_hdf5,2.23,FSNS,36
16,z_hdf5,2.23,FSNS,37
16,z_hdf5,2.23,FSNS,38
16,z_hdf5,2.23,FSNS,39
16,z_hdf5,2.23,FSNS,40
16,z_hdf5,2.23,FSNS,41
16,z_hdf5,2.23,FSNS,42
16,z_hdf5,2.23,FSNS,43
16,z_hdf5,2.23,FSNS,44
16,z_hdf5,2.23,FSNS,45
16,z_hdf5,2.23,FSNS,46
16,z_hdf5,2.23,FSNS,47
16,z_hdf5,2.23,FSNS,48
16,z_hdf5,2.23,FSNS,49
16,z_hdf5,2.23,FSNS,50
16,z_hdf5,2.23,FSNS,51
16,z_hdf5,2.23,FSNS,52
16,z_hdf5,2.23,FSNS,53
16,z_hdf5,2.23,FSNS,54
16,z_hdf5,2.23,FSNS,55
14,z_hdf5,2.74,FSNS,56
16,z_hdf5,2.23,FSNS,57
