,precision,recall,f1-score,support
1,0.073,0.683,0.132,60.000
2,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,136.000
4,0.000,0.000,0.000,216.000
5,0.000,0.000,0.000,198.000
6,0.000,0.000,0.000,60.000
accuracy,0.061,0.061,0.061,0.061
macro avg,0.012,0.114,0.022,670.000
weighted avg,0.007,0.061,0.012,670.000
