,precision,recall,f1-score,support
1,0.238,0.835,0.371,363.000
2,0.000,0.000,0.000,408.000
3,0.000,0.000,0.000,609.000
4,0.000,0.000,0.000,302.000
5,0.000,0.000,0.000,82.000
7,0.008,0.111,0.014,36.000
accuracy,0.171,0.171,0.171,0.171
macro avg,0.041,0.158,0.064,1800.000
weighted avg,0.048,0.171,0.075,1800.000
