,precision,recall,f1-score,support
0,0.820,0.363,0.503,892.000
1,0.422,0.627,0.505,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.005,0.004,0.004,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.385,0.730,0.504,910.000
accuracy,0.391,0.391,0.391,0.391
macro avg,0.204,0.215,0.190,3600.000
weighted avg,0.379,0.391,0.346,3600.000
