variable,frequency,8,10,12,14,16,18,20,22,24
FLUT,daily,0,0,0,0,60,0,0,0,0
LHFLX,daily,0,0,33,26,1,0,0,0,0
PRECT,daily,0,0,14,43,2,1,0,0,0
TAUX,daily,0,0,14,46,0,0,0,0,0
TS,daily,0,0,0,0,0,0,52,8,0
Z500,daily,0,0,0,0,0,0,0,59,1
