,precision,recall,f1-score,support
0,0.529,0.133,0.213,270.000
1,0.320,0.886,0.471,149.000
2,0.000,0.000,0.000,1.000
6,0.000,0.000,0.000,60.000
accuracy,0.350,0.350,0.350,0.350
macro avg,0.212,0.255,0.171,480.000
weighted avg,0.397,0.350,0.266,480.000
