,precision,recall,f1-score,support
0,0.000,0.000,0.000,0.000
1,0.354,0.700,0.470,363.000
2,0.265,0.375,0.310,408.000
3,0.425,0.061,0.106,609.000
4,0.000,0.000,0.000,302.000
5,0.000,0.000,0.000,82.000
7,0.069,0.111,0.085,36.000
accuracy,0.249,0.249,0.249,0.249
macro avg,0.159,0.178,0.139,1800.000
weighted avg,0.277,0.249,0.203,1800.000
