,precision,recall,f1-score,support
0,0.549,0.493,0.519,892.000
1,0.276,0.217,0.243,667.000
2,0.009,0.004,0.006,226.000
3,0.000,0.000,0.000,169.000
4,0.030,0.011,0.016,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.330,0.677,0.444,910.000
accuracy,0.335,0.335,0.335,0.335
macro avg,0.149,0.175,0.154,3600.000
weighted avg,0.274,0.335,0.288,3600.000
