class,precision,recall,f1-score,support
zfp_p_18,0.794,0.211,0.333,3459.000
zfp_p_20,0.384,0.442,0.411,651.000
zfp_p_22,0.173,0.635,0.272,1199.000
zfp_p_24,0.000,0.000,0.000,59.000
lossless,0.000,0.000,0.000,703.000
accuracy,0.293,0.293,0.293,0.293
macro avg,0.270,0.258,0.203,6071.000
weighted avg,0.528,0.293,0.288,6071.000
