,precision,recall,f1-score,support
0,0.000,0.000,0.000,892.000
1,0.192,0.159,0.174,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.000,0.000,0.000,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.275,0.890,0.420,910.000
accuracy,0.254,0.254,0.254,0.254
macro avg,0.058,0.131,0.074,3600.000
weighted avg,0.105,0.254,0.138,3600.000
