set,time,mean,variance,ns_con_var
orig_FLNS,0,53.04957620841068,420.8270186761198,28.158805851530694
orig_FLNS,1,53.44072936924245,431.73707040708445,27.841000964845616
orig_FLNS,2,54.59633041148777,400.8372220774976,26.033988900157986
orig_FLNS,3,54.720903934512656,395.49112604075566,24.672473090231648
orig_FLNS,4,55.55132279389475,434.1373040951972,28.89699508162604
orig_FLNS,5,54.33338075081765,529.7703530601588,33.88942625504982
orig_FLNS,6,53.012146154906155,515.0461376863311,31.204146538682426
orig_FLNS,7,53.02884541798228,498.8190518899317,28.669286057574908
orig_FLNS,8,53.98072934038565,398.0229118724337,25.280610439572435
orig_FLNS,9,54.226869050876964,374.5261811225414,26.137831985234683
orig_FLNS,10,54.06269108138179,396.5378958284277,28.885471657954426
orig_FLNS,11,53.23388603811347,419.4932171735203,28.45808330076375
orig_FLNS,12,53.27754614969597,419.2275846074951,27.749048901545088
orig_FLNS,13,53.016477848624774,401.52784461457287,26.95756306644664
orig_FLNS,14,53.88358866394722,381.52765515891394,26.399864885957193
orig_FLNS,15,55.2451895113123,395.97006295349155,26.611198829464186
orig_FLNS,16,54.85903851553621,420.467874649611,28.437655813093496
orig_FLNS,17,54.26864680479848,491.06369544052404,32.04656161264094
orig_FLNS,18,53.58388398156042,533.8720423900745,32.45121097275345
orig_FLNS,19,52.862330261491756,485.76005423552107,28.302983587361926
orig_FLNS,20,53.93107335276319,410.9566959649746,24.980339034566462
orig_FLNS,21,54.59972689496696,433.9992566987129,27.119976392946278
orig_FLNS,22,54.01505832949538,401.6654105570991,29.108033550507056
orig_FLNS,23,52.621240120624726,400.79252664522784,28.09748334765978
orig_FLNS,24,52.80005971664135,453.1884341609967,30.048976653420073
orig_FLNS,25,53.54305390275113,413.7760208744598,28.090277864314885
orig_FLNS,26,54.16532220777872,442.1247643431566,28.899226626389385
orig_FLNS,27,55.58172430281887,446.5886870618982,28.72286889723894
orig_FLNS,28,55.83744346948284,457.1303555959724,29.807568933103386
orig_FLNS,29,54.40046439040922,515.5729159708746,32.54949088070695
orig_FLNS,30,53.51103251197948,528.4466770829098,32.87859289214477
orig_FLNS,31,53.159489643588984,512.0840017373366,28.05654546009701
orig_FLNS,32,54.07049213502,423.26850299110237,25.771184711672806
orig_FLNS,33,54.7866164032953,370.5547774465792,26.56056292451746
orig_FLNS,34,54.18432929072232,352.8666259951019,27.585647173146047
