,precision,recall,f1-score,support
0,0.313,0.286,0.299,892.000
1,0.254,0.049,0.083,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.007,0.004,0.005,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.299,0.710,0.421,910.000
accuracy,0.260,0.260,0.260,0.260
macro avg,0.109,0.131,0.101,3600.000
weighted avg,0.201,0.260,0.196,3600.000
