,precision,recall,f1-score,support
1,0.000,0.000,0.000,60.000
2,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,136.000
4,0.000,0.000,0.000,216.000
5,0.000,0.000,0.000,198.000
6,0.129,0.067,0.088,60.000
7,0.413,0.557,0.475,838.000
accuracy,0.312,0.312,0.312,0.312
macro avg,0.077,0.089,0.080,1508.000
weighted avg,0.235,0.312,0.267,1508.000
