,precision,recall,f1-score,support
0,0.000,0.000,0.000,954.000
1,0.528,0.938,0.676,1205.000
2,0.010,0.034,0.015,147.000
3,0.000,0.000,0.000,668.000
4,0.325,0.944,0.484,248.000
5,0.000,0.000,0.000,67.000
6,0.000,0.000,0.000,70.000
accuracy,0.408,0.408,0.408,0.408
macro avg,0.123,0.274,0.168,3359.000
weighted avg,0.214,0.408,0.279,3359.000
