,precision,recall,f1-score,support
1,0.000,0.000,0.000,363.000
2,0.263,0.150,0.191,408.000
3,0.000,0.000,0.000,609.000
4,0.000,0.000,0.000,302.000
5,0.000,0.000,0.000,82.000
7,0.017,0.722,0.032,36.000
accuracy,0.048,0.048,0.048,0.048
macro avg,0.047,0.145,0.037,1800.000
weighted avg,0.060,0.048,0.044,1800.000
