,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
3,0.356,0.750,0.483,28.000
4,0.667,0.667,0.667,24.000
5,0.000,0.000,0.000,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.446,0.446,0.446,0.446
macro avg,0.170,0.236,0.192,83.000
weighted avg,0.313,0.446,0.356,83.000
