variable,frequency,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
FLNS,monthly,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
FLNT,monthly,18,18,16,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18
FSNS,monthly,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
FSNT,monthly,16,16,16,16,14,16,14,18,16,16,14,16,16,16,16,16,16,16,16,16,16,16,16,16,14,14,14,16,16,16,16,16,16,16,16,16,16,14,16,14,16,16,16,16,16,16,16,16,16,16,14,16,16,16,16,16,14,14,14,16
LHFLX,monthly,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
PRECC,monthly,14,14,14,12,14,14,14,14,14,14,14,14,14,14,14,12,12,14,14,14,14,14,14,12,14,14,14,12,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,12,14,14,14,12,14,14,14,14,14,14,14,14,12,14,14,14
PRECL,monthly,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,14,14,14,14
PS,monthly,22,22,24,22,22,22,22,22,24,22,22,22,22,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,22,24,24,22,22,24,22,24,22,24,22,22,22,22,22,22,22,22,22,22,22,24,22,24,22,24,22,22,22,22
QFLX,monthly,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,14,14,14,14,14,14,14,14,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
SHFLX,monthly,16,16,14,16,14,16,16,14,14,14,14,14,14,14,14,16,14,14,16,14,14,16,16,14,14,16,16,14,14,16,16,16,16,14,14,14,16,16,14,16,14,14,16,16,16,14,16,16,14,14,14,16,14,14,16,14,14,14,14,14
TMQ,monthly,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,16,16,16,16,16,16,16,16,16,16,16,16,16
TS,monthly,20,20,20,20,20,22,22,20,22,22,22,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,20,20,20,20,20,22,22,22,20,22,22,22,22,22,20,20,20,20,20,22,20,20,22,22,22,22,20,20,20,20,22,22,20,20
