,precision,recall,f1-score,support
0,0.091,0.002,0.004,892.000
1,0.338,0.672,0.450,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.000,0.000,0.000,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.370,0.859,0.518,910.000
accuracy,0.342,0.342,0.342,0.342
macro avg,0.100,0.192,0.121,3600.000
weighted avg,0.179,0.342,0.215,3600.000
