class,precision,recall,f1-score,support
zfp_p_16,0.086,0.950,0.158,60.000
zfp_p_18,0.000,0.000,0.000,136.000
zfp_p_20,0.000,0.000,0.000,216.000
zfp_p_22,0.000,0.000,0.000,198.000
zfp_p_24,0.571,0.067,0.119,60.000
accuracy,0.091,0.091,0.091,0.091
macro avg,0.131,0.203,0.055,670.000
weighted avg,0.059,0.091,0.025,670.000
