class,precision,recall,f1-score,support
zfp_p_14,0.000,0.000,0.000,0.000
zfp_p_16,0.333,0.050,0.087,60.000
zfp_p_20,0.000,0.000,0.000,136.000
zfp_p_22,0.000,0.000,0.000,216.000
zfp_p_24,0.000,0.000,0.000,198.000
zfp_p_26,0.000,0.000,0.000,60.000
accuracy,0.004,0.004,0.004,0.004
macro avg,0.056,0.008,0.014,670.000
weighted avg,0.030,0.004,0.008,670.000
