,precision,recall,f1-score,support
0,0.614,0.647,0.630,892.000
1,0.116,0.030,0.048,667.000
2,0.022,0.009,0.013,226.000
3,0.000,0.000,0.000,169.000
4,0.010,0.011,0.010,281.000
5,0.171,0.845,0.284,394.000
6,0.000,0.000,0.000,61.000
7,0.667,0.108,0.185,910.000
accuracy,0.287,0.287,0.287,0.287
macro avg,0.200,0.206,0.146,3600.000
weighted avg,0.363,0.287,0.245,3600.000
