,precision,recall,f1-score,support
1,0.000,0.000,0.000,363.000
2,0.234,0.985,0.378,408.000
3,0.000,0.000,0.000,609.000
4,0.000,0.000,0.000,302.000
5,0.000,0.000,0.000,82.000
7,0.000,0.000,0.000,36.000
accuracy,0.223,0.223,0.223,0.223
macro avg,0.039,0.164,0.063,1800.000
weighted avg,0.053,0.223,0.086,1800.000
