,precision,recall,f1-score,support
0,0.000,0.000,0.000,892.000
1,0.232,0.898,0.369,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.000,0.000,0.000,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.509,0.570,0.538,910.000
accuracy,0.311,0.311,0.311,0.311
macro avg,0.093,0.184,0.113,3600.000
weighted avg,0.172,0.311,0.204,3600.000
