,precision,recall,f1-score,support
0,0.823,0.240,0.372,892.000
1,0.378,0.669,0.483,667.000
2,0.000,0.000,0.000,226.000
3,0.000,0.000,0.000,169.000
4,0.007,0.004,0.005,281.000
5,0.000,0.000,0.000,394.000
6,0.000,0.000,0.000,61.000
7,0.388,0.742,0.510,910.000
accuracy,0.371,0.371,0.371,0.371
macro avg,0.199,0.207,0.171,3600.000
weighted avg,0.373,0.371,0.311,3600.000
