,precision,recall,f1-score,support
0,0.000,0.000,0.000,1159.000
1,0.396,0.267,0.319,1221.000
2,0.000,0.000,0.000,296.000
3,0.000,0.000,0.000,436.000
4,0.000,0.000,0.000,152.000
5,0.000,0.000,0.000,24.000
6,0.095,0.031,0.047,64.000
7,0.084,0.931,0.155,248.000
accuracy,0.155,0.155,0.155,0.155
macro avg,0.072,0.154,0.065,3600.000
weighted avg,0.142,0.155,0.120,3600.000
