,precision,recall,f1-score,support
0,0.466,0.377,0.417,954.000
1,0.000,0.000,0.000,1205.000
2,0.000,0.000,0.000,147.000
3,0.000,0.000,0.000,668.000
4,0.025,0.008,0.012,248.000
5,0.030,0.970,0.059,67.000
6,0.000,0.000,0.000,70.000
accuracy,0.127,0.127,0.127,0.127
macro avg,0.075,0.194,0.070,3359.000
weighted avg,0.135,0.127,0.121,3359.000
