,precision,recall,f1-score,support
0,0.000,0.000,0.000,0.000
1,0.000,0.000,0.000,60.000
3,0.000,0.000,0.000,136.000
4,0.000,0.000,0.000,216.000
5,0.000,0.000,0.000,198.000
6,0.000,0.000,0.000,60.000
accuracy,0.000,0.000,0.000,0.000
macro avg,0.000,0.000,0.000,670.000
weighted avg,0.000,0.000,0.000,670.000
