,precision,recall,f1-score,support
0,0.000,0.000,0.000,4.000
1,0.000,0.000,0.000,419.000
2,0.429,1.000,0.601,1865.000
3,0.234,0.206,0.220,1700.000
4,0.000,0.000,0.000,375.000
5,0.000,0.000,0.000,17.000
6,0.000,0.000,0.000,720.000
7,0.000,0.000,0.000,30.000
8,0.000,0.000,0.000,710.000
accuracy,0.379,0.379,0.379,0.379
macro avg,0.074,0.134,0.091,5840.000
weighted avg,0.205,0.379,0.256,5840.000
