,precision,recall,f1-score,support
0,0.000,0.000,0.000,3459.000
1,0.000,0.000,0.000,651.000
2,0.281,0.879,0.426,1199.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.174,0.174,0.174,0.174
macro avg,0.056,0.176,0.085,6071.000
weighted avg,0.056,0.174,0.084,6071.000
