,precision,recall,f1-score,support
0,0.955,0.211,0.346,3459.000
1,0.000,0.000,0.000,651.000
2,0.209,0.912,0.340,1199.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.300,0.300,0.300,0.300
macro avg,0.233,0.225,0.137,6071.000
weighted avg,0.586,0.300,0.264,6071.000
