,precision,recall,f1-score,support
0,0.000,0.000,0.000,3459.000
1,0.000,0.000,0.000,651.000
2,0.198,1.000,0.331,1199.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.197,0.197,0.197,0.197
macro avg,0.040,0.200,0.066,6071.000
weighted avg,0.039,0.197,0.065,6071.000
