,precision,recall,f1-score,support
20,0.923,0.986,0.954,5077.000
14,0.922,0.661,0.770,1228.000
accuracy,0.923,0.923,0.923,0.923
macro avg,0.922,0.824,0.862,6305.000
weighted avg,0.923,0.923,0.918,6305.000
