,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
3,0.356,0.750,0.483,28.000
4,0.000,0.000,0.000,24.000
5,0.083,0.125,0.100,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.265,0.265,0.265,0.265
macro avg,0.073,0.146,0.097,83.000
weighted avg,0.128,0.265,0.172,83.000
