,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
2,0.000,0.000,0.000,0.000
3,0.324,0.821,0.465,28.000
4,0.000,0.000,0.000,24.000
5,0.000,0.000,0.000,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.277,0.277,0.277,0.277
macro avg,0.046,0.117,0.066,83.000
weighted avg,0.109,0.277,0.157,83.000
