variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLNS,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486,0,-1.0,-9935522.0
FLNSC,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606,0,-1.0,1.0
FLUT,4,54846290.0,2.0067719439181757,16,46744830.0,2.354570462658651,0,-1.0,1.0
FSNS,3,51915828.0,2.2177899772685894,14,44787174.0,2.570789641695187,0,-1.0,-9305218.0
FSNSC,4,53376906.0,1.9025374007253248,16,41946195.0,2.420995754203689,0,-1.0,1.0
FSNTOA,4,61749352.0,1.7802817104866138,14,41841519.0,2.62732435693838,0,-1.0,1.0
ICEFRAC,4,15232439.0,1.5831624206734063,16,12424977.0,1.9408828684350885,0,-1.0,1.0
LHFLX,3,63270682.0,2.0624178983877557,14,48247624.0,2.704601308449925,0,-1.0,-10456229.0
PRECL,3,71804757.0,1.883948371275736,14,53906152.0,2.5094808288300747,0,-1.0,-10652395.0
PRECSC,2,4490961.0,1.834636283859958,12,4124030.0,1.9978710145173533,0,-1.0,1.0
PRECSL,3,56722981.0,1.802346671448738,12,38287829.0,2.6701559913464927,0,-1.0,1.0
PRECT,3,70162921.0,1.9020682876073531,14,52327837.0,2.550357030809433,0,-1.0,1.0
PRECTMX,3,70162921.0,1.9020682876073531,14,52327837.0,2.550357030809433,0,-1.0,1.0
PSL,7,87659359.0,0.9999988478127019,22,50562166.0,1.7336926982123353,0,-1.0,1.0
Q200,4,68991068.0,1.7343230865769466,16,49391013.0,2.4225622179484354,0,-1.0,1.0
Q500,4,74043451.0,1.684395653033514,16,53500964.0,2.331144294895322,0,-1.0,1.0
Q850,4,70138833.0,1.73219139531449,14,42158449.0,2.881839486077868,0,-1.0,1.0
QBOT,4,67881664.0,1.760140927010864,16,51276251.0,2.3301488051456802,0,-1.0,1.0
SHFLX,3,66881062.0,1.9642901603446428,14,49880815.0,2.6337543201729963,0,-1.0,-10615810.0
SRF,0,-1.0,1.0,0,-1.0,1.0,0,-1.0,1.0
T010,6,57784745.0,1.440290737633263,22,40978144.0,2.0310054306022254,0,-1.0,1.0
T200,6,66078422.0,1.3865520729293446,20,45995444.0,1.9919619212720285,0,-1.0,1.0
T500,6,67819094.0,1.3343415646337005,22,55280202.0,1.6370026288977744,0,-1.0,1.0
T850,6,70234124.0,1.3160503859918578,22,59356707.0,1.5572232805974227,0,-1.0,1.0
TAUX,3,67420587.0,1.9544885600002266,14,47187862.0,2.792514015574598,0,-1.0,1.0
TAUY,3,69087929.0,1.919214541805125,14,47854464.0,2.7707876531643945,0,-1.0,1.0
TMQ,4,68195072.0,1.7582689552699644,16,49403321.0,2.4270691842760934,0,-1.0,-9418237.0
TREFHT,5,53514134.0,1.755997714547712,22,59738934.0,1.5730226622390016,0,-1.0,1.0
TREFHTMN,5,54705363.0,1.7374422138465657,20,52484516.0,1.8109609127385304,0,-1.0,1.0
TREFHTMX,5,53989011.0,1.7471180199985512,22,61498085.0,1.5337904261571722,0,-1.0,1.0
