,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
2,0.000,0.000,0.000,0.000
3,0.000,0.000,0.000,28.000
4,0.000,0.000,0.000,24.000
5,0.042,0.125,0.062,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.012,0.012,0.012,0.012
macro avg,0.006,0.018,0.009,83.000
weighted avg,0.004,0.012,0.006,83.000
