variable,frequency,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
FLUT,daily,0001,000005,0001,000005,00001,0001,0001,000005,000005,00005,0001,00005,00001,0001,000005,00001,000005,00005,0001,0001,0001,0001,0001,00001,00005,00005,00001,0001,0001,0001,000005,0001,0001,0001,000005,0001,0001,00005,0001,000005,0001,00001,00005,000005,0001,000005,0001,0001,000005,0001,000005,000005,00001,0001,000005,0001,0001,000005,0001,0001
LHFLX,daily,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
PRECT,daily,000005,000001,000005,000005,000001,000005,000001,000005,000005,00001,000005,000001,000001,000005,000005,00001,00001,000001,000005,00001,000005,000001,00001,000001,000005,000005,000001,000005,000005,000001,00001,000001,000001,000005,000005,000005,000005,000005,000005,000001,000001,00001,000001,000001,000001,000005,00001,000001,000005,000005,000005,00001,000005,000005,000001,000005,000005,000001,000005,000005
TAUX,daily,000005,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,000005,000005,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,000005,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001
TS,daily,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001,000001
Z500,daily,00001,00001,00001,00001,000005,000005,00001,000005,00001,00001,00001,00001,000005,00001,00001,00001,00001,00001,000005,00001,00001,00001,00001,000005,00001,00001,00001,00001,00001,000005,000005,00001,00001,00001,00001,00001,00001,00001,00001,00001,00001,000005,000005,00001,00001,00001,00001,00001,000005,00001,000001,000005,00001,000005,000005,00001,00001,000005,00001,00001
