,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
3,0.191,0.321,0.240,28.000
4,0.000,0.000,0.000,24.000
5,0.000,0.000,0.000,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.108,0.108,0.108,0.108
macro avg,0.032,0.054,0.040,83.000
weighted avg,0.065,0.108,0.081,83.000
