variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
FLNSC,daily,1,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,2,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,3,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,4,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,5,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,6,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,7,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,8,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,9,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,10,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,11,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
FLNSC,daily,12,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
