variable,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio,sz_level,sz_size,sz_ratio
FLUT,4,54846290.0,2.006759035114317,16,67976402.0,1.6191396537875011,000005,109633501.0,1.0039202159566172
LHFLX,4,80101457.0,1.6290573840623148,12,64513411.0,2.0226781994212026,-1,130489870.0,1.0
PRECT,3,70162921.0,1.9020580685345183,12,68557296.0,1.9466046327148026,000001,133010356.0,1.0033350335518236
TAUX,3,67420587.0,1.9544779252663582,12,66016345.0,1.9960518716993496,000005,131370044.0,1.0030600964098024
TS,5,53517915.0,1.757317675772683,20,64785467.0,1.4516832610004957,000001,93618200.0,1.0045907526527962
Z500,6,71872257.0,1.2394182779038092,22,67298448.0,1.3236529466474471,000001,88800383.0,1.0031464503931249
