variable,frequency,2,3,4,5,6,7
FLUT,daily,0,0,42,18,0,0
LHFLX,daily,0,0,59,1,0,0
PRECT,daily,0,34,26,0,0,0
TAUX,daily,0,19,41,0,0,0
TS,daily,0,0,0,1,59,0
Z500,daily,0,0,0,0,59,1
