,precision,recall,f1-score,support
0,0.000,0.000,0.000,9.000
3,0.337,1.000,0.505,28.000
4,0.000,0.000,0.000,24.000
5,0.000,0.000,0.000,8.000
7,0.000,0.000,0.000,11.000
8,0.000,0.000,0.000,3.000
accuracy,0.337,0.337,0.337,0.337
macro avg,0.056,0.167,0.084,83.000
weighted avg,0.114,0.337,0.170,83.000
