,precision,recall,f1-score,support
0,0.600,1.000,0.750,3.000
1,1.000,1.000,1.000,3.000
2,0.000,0.000,0.000,2.000
3,0.692,0.655,0.673,55.000
4,0.426,0.853,0.569,34.000
5,0.000,0.000,0.000,11.000
6,0.000,0.000,0.000,4.000
7,0.783,0.667,0.720,27.000
8,0.000,0.000,0.000,12.000
accuracy,0.589,0.589,0.589,0.589
macro avg,0.389,0.464,0.412,151.000
weighted avg,0.520,0.589,0.537,151.000
