variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
TAUX,monthly,0,8,,,[8.0]
TAUX,monthly,1,8,,,[8.0]
TAUX,monthly,2,8,,,[8.0]
TAUX,monthly,3,8,,,[8.0]
TAUX,monthly,4,8,,,[8.0]
TAUX,monthly,5,8,,,[8.0]
TAUX,monthly,6,8,,,[8.0]
TAUX,monthly,7,8,,,[8.0]
TAUX,monthly,8,8,,,[8.0]
TAUX,monthly,9,8,,,[8.0]
TAUX,monthly,10,8,,,[8.0]
TAUX,monthly,11,8,,,[8.0]
TAUX,monthly,12,8,,,[8.0]
TAUX,monthly,13,8,,,[8.0]
TAUX,monthly,14,8,,,[8.0]
TAUX,monthly,15,8,,,[8.0]
TAUX,monthly,16,8,,,[8.0]
TAUX,monthly,17,8,,,[8.0]
TAUX,monthly,18,8,,,[8.0]
TAUX,monthly,19,8,,,[8.0]
TAUX,monthly,20,8,,,[8.0]
TAUX,monthly,21,8,,,[8.0]
TAUX,monthly,22,8,,,[8.0]
TAUX,monthly,23,8,,,[8.0]
TAUX,monthly,24,8,,,[8.0]
TAUX,monthly,25,8,,,[8.0]
TAUX,monthly,26,8,,,[8.0]
TAUX,monthly,27,8,,,[8.0]
TAUX,monthly,28,8,,,[8.0]
TAUX,monthly,29,8,,,[8.0]
TAUX,monthly,30,8,,,[8.0]
TAUX,monthly,31,8,,,[8.0]
TAUX,monthly,32,8,,,[8.0]
TAUX,monthly,33,8,,,[8.0]
TAUX,monthly,34,8,,,[8.0]
TAUX,monthly,35,8,,,[8.0]
TAUX,monthly,36,8,,,[8.0]
TAUX,monthly,37,8,,,[8.0]
TAUX,monthly,38,8,,,[8.0]
TAUX,monthly,39,8,,,[8.0]
TAUX,monthly,40,8,,,[8.0]
TAUX,monthly,41,8,,,[8.0]
TAUX,monthly,42,8,,,[8.0]
TAUX,monthly,43,8,,,[8.0]
TAUX,monthly,44,8,,,[8.0]
TAUX,monthly,45,8,,,[8.0]
LHFLX,monthly,0,8,,,[8.0]
LHFLX,monthly,1,8,,,[8.0]
TAUX,monthly,46,8,,,[8.0]
LHFLX,monthly,2,8,,,[8.0]
TAUX,monthly,47,8,,,[8.0]
LHFLX,monthly,3,8,,,[8.0]
TAUX,monthly,48,8,,,[8.0]
LHFLX,monthly,4,8,,,[8.0]
TAUX,monthly,49,8,,,[8.0]
LHFLX,monthly,5,8,,,[8.0]
TAUX,monthly,50,8,,,[8.0]
LHFLX,monthly,6,8,,,[8.0]
TAUX,monthly,51,8,,,[8.0]
LHFLX,monthly,7,8,,,[8.0]
LHFLX,monthly,8,8,,,[8.0]
LHFLX,monthly,9,8,,,[8.0]
TAUX,monthly,52,8,,,[8.0]
TAUX,monthly,53,8,,,[8.0]
TAUX,monthly,54,8,,,[8.0]
LHFLX,monthly,10,8,,,[8.0]
PRECT,monthly,0,10,,,[10.0]
TAUX,monthly,55,8,,,[8.0]
LHFLX,monthly,11,8,,,[8.0]
TAUX,monthly,56,8,,,[8.0]
LHFLX,monthly,12,8,,,[8.0]
PRECT,monthly,1,8,,,[8.0]
LHFLX,monthly,13,8,,,[8.0]
LHFLX,monthly,14,8,,,[8.0]
PRECT,monthly,2,8,,,[8.0]
Z500,monthly,0,16,,,[16.0]
TAUX,monthly,57,8,,,[8.0]
LHFLX,monthly,15,8,,,[8.0]
Z500,monthly,1,16,,,[16.0]
LHFLX,monthly,16,8,,,[8.0]
PRECT,monthly,3,8,,,[8.0]
Z500,monthly,2,16,,,[16.0]
TAUX,monthly,58,8,,,[8.0]
TAUX,monthly,59,8,,,[8.0]
LHFLX,monthly,17,8,,,[8.0]
TAUX,monthly,60,8,,,[8.0]
LHFLX,monthly,18,8,,,[8.0]
TAUX,monthly,61,8,,,[8.0]
Z500,monthly,3,16,,,[16.0]
PRECT,monthly,4,8,,,[8.0]
TAUX,monthly,62,8,,,[8.0]
Z500,monthly,4,16,,,[16.0]
Z500,monthly,5,16,,,[16.0]
LHFLX,monthly,19,8,,,[8.0]
PRECT,monthly,5,8,,,[8.0]
LHFLX,monthly,20,8,,,[8.0]
TAUX,monthly,63,8,,,[8.0]
PRECT,monthly,6,8,,,[8.0]
Z500,monthly,6,16,,,[16.0]
PRECT,monthly,7,8,,,[8.0]
PRECT,monthly,8,8,,,[8.0]
LHFLX,monthly,21,8,,,[8.0]
Z500,monthly,7,16,,,[16.0]
LHFLX,monthly,22,8,,,[8.0]
TAUX,monthly,64,8,,,[8.0]
PRECT,monthly,9,8,,,[8.0]
PRECT,monthly,10,8,,,[8.0]
TAUX,monthly,65,8,,,[8.0]
TAUX,monthly,66,8,,,[8.0]
Z500,monthly,8,16,,,[16.0]
PRECT,monthly,11,8,,,[8.0]
LHFLX,monthly,23,8,,,[8.0]
PRECT,monthly,12,10,,,[10.0]
PRECT,monthly,13,8,,,[8.0]
LHFLX,monthly,24,8,,,[8.0]
TAUX,monthly,67,8,,,[8.0]
Z500,monthly,9,16,,,[16.0]
TAUX,monthly,68,8,,,[8.0]
Z500,monthly,10,16,,,[16.0]
PRECT,monthly,14,8,,,[8.0]
TAUX,monthly,69,8,,,[8.0]
Z500,monthly,11,16,,,[16.0]
LHFLX,monthly,25,8,,,[8.0]
PRECT,monthly,15,8,,,[8.0]
TAUX,monthly,70,8,,,[8.0]
PRECT,monthly,16,8,,,[8.0]
LHFLX,monthly,26,8,,,[8.0]
PRECT,monthly,17,8,,,[8.0]
Z500,monthly,12,16,,,[16.0]
LHFLX,monthly,27,8,,,[8.0]
TAUX,monthly,71,8,,,[8.0]
Z500,monthly,13,16,,,[16.0]
FLUT,monthly,0,10,,,[10.0]
Z500,monthly,14,16,,,[16.0]
PRECT,monthly,18,10,,,[10.0]
FLUT,monthly,1,10,,,[10.0]
TAUX,monthly,72,8,,,[8.0]
PRECT,monthly,19,8,,,[8.0]
LHFLX,monthly,28,8,,,[8.0]
LHFLX,monthly,29,8,,,[8.0]
PRECT,monthly,20,8,,,[8.0]
PRECT,monthly,21,8,,,[8.0]
Z500,monthly,15,16,,,[16.0]
TAUX,monthly,73,8,,,[8.0]
LHFLX,monthly,30,8,,,[8.0]
FLUT,monthly,2,10,,,[10.0]
TAUX,monthly,74,8,,,[8.0]
PRECT,monthly,22,8,,,[8.0]
LHFLX,monthly,31,8,,,[8.0]
FLUT,monthly,3,10,,,[10.0]
Z500,monthly,16,16,,,[16.0]
Z500,monthly,17,16,,,[16.0]
TAUX,monthly,75,8,,,[8.0]
Z500,monthly,18,16,,,[16.0]
TAUX,monthly,76,8,,,[8.0]
LHFLX,monthly,32,8,,,[8.0]
FLUT,monthly,4,10,,,[10.0]
PRECT,monthly,23,8,,,[8.0]
LHFLX,monthly,33,8,,,[8.0]
Z500,monthly,19,16,,,[16.0]
FLUT,monthly,5,10,,,[10.0]
TAUX,monthly,77,8,,,[8.0]
LHFLX,monthly,34,8,,,[8.0]
Z500,monthly,20,16,,,[16.0]
LHFLX,monthly,35,8,,,[8.0]
TAUX,monthly,78,8,,,[8.0]
PRECT,monthly,24,8,,,[8.0]
FLUT,monthly,6,10,,,[10.0]
Z500,monthly,21,16,,,[16.0]
FLUT,monthly,7,10,,,[10.0]
LHFLX,monthly,36,8,,,[8.0]
TAUX,monthly,79,8,,,[8.0]
PRECT,monthly,25,8,,,[8.0]
Z500,monthly,22,16,,,[16.0]
Z500,monthly,23,16,,,[16.0]
FLUT,monthly,8,10,,,[10.0]
PRECT,monthly,26,10,,,[10.0]
TAUX,monthly,80,8,,,[8.0]
LHFLX,monthly,37,8,,,[8.0]
Z500,monthly,24,16,,,[16.0]
FLUT,monthly,9,10,,,[10.0]
PRECT,monthly,27,8,,,[8.0]
Z500,monthly,25,16,,,[16.0]
TAUX,monthly,81,8,,,[8.0]
LHFLX,monthly,38,8,,,[8.0]
PRECT,monthly,28,8,,,[8.0]
Z500,monthly,26,16,,,[16.0]
TAUX,monthly,82,8,,,[8.0]
FLUT,monthly,10,10,,,[10.0]
LHFLX,monthly,39,8,,,[8.0]
PRECT,monthly,29,8,,,[8.0]
Z500,monthly,27,16,,,[16.0]
TAUX,monthly,83,8,,,[8.0]
FLUT,monthly,11,10,,,[10.0]
LHFLX,monthly,40,8,,,[8.0]
PRECT,monthly,30,8,,,[8.0]
Z500,monthly,28,16,,,[16.0]
TAUX,monthly,84,8,,,[8.0]
FLUT,monthly,12,10,,,[10.0]
LHFLX,monthly,41,8,,,[8.0]
PRECT,monthly,31,8,,,[8.0]
Z500,monthly,29,16,,,[16.0]
FLUT,monthly,13,10,,,[10.0]
TAUX,monthly,85,8,,,[8.0]
LHFLX,monthly,42,8,,,[8.0]
PRECT,monthly,32,8,,,[8.0]
Z500,monthly,30,16,,,[16.0]
TAUX,monthly,86,8,,,[8.0]
FLUT,monthly,14,10,,,[10.0]
LHFLX,monthly,43,8,,,[8.0]
PRECT,monthly,33,8,,,[8.0]
Z500,monthly,31,16,,,[16.0]
LHFLX,monthly,44,8,,,[8.0]
TAUX,monthly,87,8,,,[8.0]
PRECT,monthly,34,8,,,[8.0]
FLUT,monthly,15,10,,,[10.0]
Z500,monthly,32,16,,,[16.0]
LHFLX,monthly,45,8,,,[8.0]
TAUX,monthly,88,8,,,[8.0]
LHFLX,monthly,46,8,,,[8.0]
PRECT,monthly,35,8,,,[8.0]
Z500,monthly,33,16,,,[16.0]
FLUT,monthly,16,10,,,[10.0]
TAUX,monthly,89,8,,,[8.0]
Z500,monthly,34,16,,,[16.0]
LHFLX,monthly,47,8,,,[8.0]
PRECT,monthly,36,8,,,[8.0]
FLUT,monthly,17,10,,,[10.0]
LHFLX,monthly,48,8,,,[8.0]
PRECT,monthly,37,8,,,[8.0]
Z500,monthly,35,16,,,[16.0]
PRECT,monthly,38,8,,,[8.0]
TAUX,monthly,90,8,,,[8.0]
FLUT,monthly,18,10,,,[10.0]
LHFLX,monthly,49,8,,,[8.0]
TAUX,monthly,91,8,,,[8.0]
Z500,monthly,36,16,,,[16.0]
PRECT,monthly,39,8,,,[8.0]
Z500,monthly,37,16,,,[16.0]
FLUT,monthly,19,10,,,[10.0]
PRECT,monthly,40,8,,,[8.0]
LHFLX,monthly,50,8,,,[8.0]
TAUX,monthly,92,8,,,[8.0]
Z500,monthly,38,16,,,[16.0]
TAUX,monthly,93,8,,,[8.0]
LHFLX,monthly,51,8,,,[8.0]
Z500,monthly,39,16,,,[16.0]
PRECT,monthly,41,8,,,[8.0]
LHFLX,monthly,52,8,,,[8.0]
FLUT,monthly,20,10,,,[10.0]
Z500,monthly,40,16,,,[16.0]
PRECT,monthly,42,8,,,[8.0]
TAUX,monthly,94,8,,,[8.0]
