index,set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,levels,algs,ratios,variable
0,orig_AODABS,0,0.0045350251968162,0.0001551895436772,1.425566244171433e-05,1.86007980714131e-06,0.9010416666666666,0.0,0.2592470143863465,0.0003824099985649,100000,zfp,1.0,ABSORB
1,orig_AODABS,1,0.0045269899518681,0.000121974260943,1.5723388428014313e-05,2.2732586180210165e-06,0.953125,0.0,0.3109118108841358,0.0003945871867472,100000,zfp,1.0,ABSORB
2,orig_AODABS,2,0.005438458874722,0.0001912632389164,2.0506602149141743e-05,0.0,1.0,0.0,0.3858063959996798,0.0003981962508987,100000,zfp,1.0,ABSORB
3,orig_AODABS,3,0.0063096091000823,0.0002541206868971,2.956995205092379e-05,4.8066339408327695e-06,0.9739583333333334,0.0,0.3273404227438732,0.0006419869023375,100000,zfp,1.0,ABSORB
4,orig_AODABS,4,0.006250541129019,0.0002833231717158,3.600233344968065e-05,6.289488688796178e-06,0.9162688078703703,0.0,0.6182011446144315,0.0007375706336461,26,zfp,1.0,ABSORB
5,orig_AODABS,5,0.0090642308104616,0.0007204860774205,8.668899720608932e-05,7.553304098629833e-06,0.875,0.0,1.0703772727429168,0.0011515410151332,26,zfp,1.0,ABSORB
6,orig_AODABS,6,0.0083428530105241,0.0004974929474472,4.685687957157901e-05,8.733353641834101e-06,0.8958333333333334,0.0,0.7212185827229405,0.0011203658650629,100000,zfp,1.0,ABSORB
7,orig_AODABS,7,0.0086615381325044,0.0004577945602748,3.15792819914118e-05,5.897147951476834e-06,0.9479166666666666,0.0,0.6479721428222547,0.001168729388155,16,zfp,2.59,ABSORB
8,orig_AODABS,8,0.007058517659512,0.0002619061985993,2.576188263050406e-05,0.0,1.0,0.0,0.558982150087104,0.0008858191140461,100000,zfp,1.0,ABSORB
9,orig_AODABS,9,0.0047655537661965,9.648111586030758e-05,1.381958805782803e-05,5.389913156180657e-06,0.979293258101852,0.0,0.3503403111244552,0.0006853134837001,100000,zfp,1.0,ABSORB
10,orig_AODABS,10,0.0033610735122715,5.077852672312479e-05,4.99517333010123e-06,4.151594757211981e-06,0.9167209201388888,0.0,0.135408733262011,0.0005595798138529,100000,zfp,1.0,ABSORB
