variable,level,size
PRECSL,orig,67603264
PRECSL,br_1,14655010
PRECSL,br_2,16964406
PRECSL,br_3,19184947
PRECSL,br_4,21541049
PRECSL,br_5,23620747
PRECSL,br_6,25725503
PRECSL,br_7,28469408
TAUY,orig,64922679
TAUY,br_1,11480927
TAUY,br_2,13603337
TAUY,br_3,15780407
TAUY,br_4,18276685
TAUY,br_5,20295156
TAUY,br_6,22930199
TAUY,br_7,25552972
soa_a2_SRF,orig,64350194
soa_a2_SRF,br_1,10867374
soa_a2_SRF,br_2,12909576
soa_a2_SRF,br_3,15153542
soa_a2_SRF,br_4,17791049
soa_a2_SRF,br_5,19842239
soa_a2_SRF,br_6,22299082
soa_a2_SRF,br_7,25050186
TAUX,orig,64056541
TAUX,br_1,10333264
TAUX,br_2,12170534
TAUX,br_3,14309051
TAUX,br_4,16680399
TAUX,br_5,18611381
TAUX,br_6,21675551
TAUX,br_7,24090339
CDNUMC,orig,63949912
CDNUMC,br_1,10523981
CDNUMC,br_2,12662578
CDNUMC,br_3,15034860
CDNUMC,br_4,17675499
CDNUMC,br_5,19686633
CDNUMC,br_6,22059832
CDNUMC,br_7,24768396
TGCLDLWP,orig,63881208
TGCLDLWP,br_1,10238368
TGCLDLWP,br_2,12272566
TGCLDLWP,br_3,14602199
TGCLDLWP,br_4,17203083
TGCLDLWP,br_5,19208406
TGCLDLWP,br_6,22065579
TGCLDLWP,br_7,24544798
PRECL,orig,63613499
PRECL,br_1,10099991
PRECL,br_2,12125120
PRECL,br_3,14450889
PRECL,br_4,17070785
PRECL,br_5,19065065
PRECL,br_6,21678140
PRECL,br_7,24302615
soa_a1_SRF,orig,63559853
soa_a1_SRF,br_1,9854480
soa_a1_SRF,br_2,11620322
soa_a1_SRF,br_3,13741634
soa_a1_SRF,br_4,16346315
soa_a1_SRF,br_5,18386032
soa_a1_SRF,br_6,21547217
soa_a1_SRF,br_7,23975214
SHFLX,orig,63424759
SHFLX,br_1,9329034
SHFLX,br_2,11134007
SHFLX,br_3,13321777
SHFLX,br_4,15737470
SHFLX,br_5,18008432
SHFLX,br_6,20914355
SHFLX,br_7,23389555
dst_a3_SRF,orig,63048593
dst_a3_SRF,br_1,9030209
dst_a3_SRF,br_2,10634002
dst_a3_SRF,br_3,12662976
dst_a3_SRF,br_4,15215767
dst_a3_SRF,br_5,17893452
dst_a3_SRF,br_6,20632894
dst_a3_SRF,br_7,23155990
pom_a1_SRF,orig,63013634
pom_a1_SRF,br_1,8951652
pom_a1_SRF,br_2,10541575
pom_a1_SRF,br_3,12564746
pom_a1_SRF,br_4,15145027
pom_a1_SRF,br_5,17864192
pom_a1_SRF,br_6,20570485
pom_a1_SRF,br_7,23109696
bc_a1_SRF,orig,63016675
bc_a1_SRF,br_1,8962795
bc_a1_SRF,br_2,10555733
bc_a1_SRF,br_3,12579949
bc_a1_SRF,br_4,15154780
bc_a1_SRF,br_5,17870003
bc_a1_SRF,br_6,20571442
bc_a1_SRF,br_7,23113917
TGCLDIWP,orig,62922927
TGCLDIWP,br_1,8928789
TGCLDIWP,br_2,10655928
TGCLDIWP,br_3,12766851
TGCLDIWP,br_4,15345832
TGCLDIWP,br_5,17900274
TGCLDIWP,br_6,20805481
TGCLDIWP,br_7,23351478
dst_a1_SRF,orig,62929369
dst_a1_SRF,br_1,8809183
dst_a1_SRF,br_2,10400679
dst_a1_SRF,br_3,12416808
dst_a1_SRF,br_4,14973791
dst_a1_SRF,br_5,17740819
dst_a1_SRF,br_6,20414782
dst_a1_SRF,br_7,22990114
LHFLX,orig,62441290
LHFLX,br_1,8551405
LHFLX,br_2,10262686
LHFLX,br_3,12270750
LHFLX,br_4,14642331
LHFLX,br_5,17150163
LHFLX,br_6,19739809
LHFLX,br_7,22848966
QFLX,orig,62253056
QFLX,br_1,8280145
QFLX,br_2,10029475
QFLX,br_3,12054851
QFLX,br_4,14422374
QFLX,br_5,16934866
QFLX,br_6,19548197
QFLX,br_7,22661027
LWCF,orig,62013078
LWCF,br_1,7479027
LWCF,br_2,9234461
LWCF,br_3,11073735
LWCF,br_4,13533817
LWCF,br_5,16488014
LWCF,br_6,19224616
LWCF,br_7,22093098
so4_a2_SRF,orig,61738075
so4_a2_SRF,br_1,7475013
so4_a2_SRF,br_2,9209920
so4_a2_SRF,br_3,11082136
so4_a2_SRF,br_4,13507240
so4_a2_SRF,br_5,16300859
so4_a2_SRF,br_6,18939826
so4_a2_SRF,br_7,22147476
WGUSTD,orig,61721018
WGUSTD,br_1,8390508
WGUSTD,br_2,10145045
WGUSTD,br_3,12367409
WGUSTD,br_4,14958785
WGUSTD,br_5,17027460
WGUSTD,br_6,20028645
WGUSTD,br_7,22266038
so4_a3_SRF,orig,61540905
so4_a3_SRF,br_1,7203450
so4_a3_SRF,br_2,8966948
so4_a3_SRF,br_3,10763755
so4_a3_SRF,br_4,12976643
so4_a3_SRF,br_5,15926015
so4_a3_SRF,br_6,18596309
so4_a3_SRF,br_7,22039485
CLDMED,orig,61495590
CLDMED,br_1,7866225
CLDMED,br_2,9611437
CLDMED,br_3,11476338
CLDMED,br_4,13726520
CLDMED,br_5,16599891
CLDMED,br_6,19119502
CLDMED,br_7,22312117
so4_a1_SRF,orig,61405607
