,precision,recall,f1-score,support
0,0.000,0.000,0.000,2172.000
1,0.000,0.000,0.000,495.000
2,0.231,1.000,0.376,1031.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.231,0.231,0.231,0.231
macro avg,0.046,0.200,0.075,4460.000
weighted avg,0.053,0.231,0.087,4460.000
