,precision,recall,f1-score,support
0,1.000,0.336,0.503,2172.000
1,0.238,0.685,0.353,495.000
2,0.087,0.194,0.120,1031.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.285,0.285,0.285,0.285
macro avg,0.265,0.243,0.195,4460.000
weighted avg,0.533,0.285,0.312,4460.000
