,precision,recall,f1-score,support
0,1.000,0.003,0.006,2172.000
1,0.180,0.685,0.286,495.000
2,0.063,0.157,0.090,1031.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.114,0.114,0.114,0.114
macro avg,0.249,0.169,0.076,4460.000
weighted avg,0.522,0.114,0.055,4460.000
