,precision,recall,f1-score,support
0,0.000,0.000,0.000,2172.000
1,0.121,0.685,0.206,495.000
2,0.149,0.236,0.182,1031.000
3,0.000,0.000,0.000,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.130,0.130,0.130,0.130
macro avg,0.054,0.184,0.078,4460.000
weighted avg,0.048,0.130,0.065,4460.000
