,precision,recall,f1-score,support
0,0.901,0.042,0.080,2172.000
1,0.000,0.000,0.000,495.000
2,0.251,0.210,0.228,1031.000
3,0.012,0.712,0.024,59.000
4,0.000,0.000,0.000,703.000
accuracy,0.078,0.078,0.078,0.078
macro avg,0.233,0.193,0.066,4460.000
weighted avg,0.497,0.078,0.092,4460.000
