variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
CCN3,daily,0,20,148277422.0,1.8378165355478058,[20.0]
CCN3,daily,1,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,0,100000,219526652.0,1.0,[100000.0]
CLOUD,daily,1,100000,219526652.0,1.0,[100000.0]
CCN3,daily,2,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,2,100000,219526652.0,1.0,[100000.0]
CCN3,daily,3,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,3,100000,219526652.0,1.0,[100000.0]
CCN3,daily,4,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,4,100000,219526652.0,1.0,[100000.0]
CCN3,daily,5,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,5,26,202816818.0,1.0823887987435046,[26.0]
CCN3,daily,6,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,6,100000,219526652.0,1.0,[100000.0]
CCN3,daily,7,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,7,100000,219526652.0,1.0,[100000.0]
CCN3,daily,8,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,8,100000,219526652.0,1.0,[100000.0]
CCN3,daily,9,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,9,100000,219526652.0,1.0,[100000.0]
CCN3,daily,10,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,10,100000,219526652.0,1.0,[100000.0]
CCN3,daily,11,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,11,100000,219526652.0,1.0,[100000.0]
CCN3,daily,12,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,12,26,202816818.0,1.0823887987435046,[26.0]
CCN3,daily,13,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,13,24,181960442.0,1.206452620070026,[24.0]
CCN3,daily,14,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,14,26,202816818.0,1.0823887987435046,[26.0]
CCN3,daily,15,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,15,100000,219526652.0,1.0,[100000.0]
CCN3,daily,16,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,16,100000,219526652.0,1.0,[100000.0]
CCN3,daily,17,18,121864875.0,2.236138165324504,[18.0]
CCN3,daily,18,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,17,100000,219526652.0,1.0,[100000.0]
CLOUD,daily,18,100000,219526652.0,1.0,[100000.0]
CCN3,daily,19,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,19,100000,219526652.0,1.0,[100000.0]
CCN3,daily,20,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,20,100000,219526652.0,1.0,[100000.0]
CCN3,daily,21,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,21,100000,219526652.0,1.0,[100000.0]
CCN3,daily,22,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,22,100000,219526652.0,1.0,[100000.0]
CCN3,daily,23,18,121864875.0,2.236138165324504,[18.0]
CCN3,daily,24,18,121864875.0,2.236138165324504,[18.0]
CLOUD,daily,23,100000,219526652.0,1.0,[100000.0]
CLOUD,daily,24,24,181960442.0,1.206452620070026,[24.0]
CLOUD,daily,25,100000,219526652.0,1.0,[100000.0]
CCN3,daily,25,20,148277422.0,1.8378165355478058,[20.0]
CCN3,daily,26,20,148277422.0,1.8378165355478058,[20.0]
CCN3,daily,27,20,148277422.0,1.8378165355478058,[20.0]
CLOUD,daily,26,24,181960442.0,1.206452620070026,[24.0]
CLOUD,daily,27,100000,219526652.0,1.0,[100000.0]
CLOUD,daily,28,100000,219526652.0,1.0,[100000.0]
CCN3,daily,28,20,148277422.0,1.8378165355478058,[20.0]
