variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
CLOUD,daily,0,100000,219526652.0,1.0,[100000.0]
FLNT,daily,0,14,2607662.0,3.3037675128141606,[14.0]
U,daily,0,14,58510879.0,4.909718686673635,[14.0]
CCN3,daily,0,22,174787669.0,1.5590727856208209,[22.0]
TMQ,daily,0,14,2881041.0,3.2690395589649714,[14.0]
CLOUD,daily,1,100000,219526652.0,1.0,[100000.0]
CLOUD,daily,2,100000,219526652.0,1.0,[100000.0]
TMQ,daily,1,14,2881041.0,3.2690395589649714,[14.0]
LHFLX,daily,0,12,2888908.0,3.619439940628085,[12.0]
FLNT,daily,1,14,2607662.0,3.3037675128141606,[14.0]
CLOUD,daily,3,100000,219526652.0,1.0,[100000.0]
TMQ,daily,2,14,2881041.0,3.2690395589649714,[14.0]
SHFLX,daily,0,14,3905705.0,2.7180265790683116,[14.0]
PRECL,daily,0,12,3316115.0,3.212311696066029,[12.0]
CLOUD,daily,4,100000,219526652.0,1.0,[100000.0]
QFLX,daily,0,12,2892402.0,3.6049501417852707,[12.0]
U,daily,1,16,82211546.0,3.494301834440627,[16.0]
LHFLX,daily,1,12,2888908.0,3.619439940628085,[12.0]
LHFLX,daily,2,12,2888908.0,3.619439940628085,[12.0]
SHFLX,daily,1,12,3075939.0,3.451242043486558,[12.0]
LHFLX,daily,3,12,2888908.0,3.619439940628085,[12.0]
QFLX,daily,1,12,2892402.0,3.6049501417852707,[12.0]
CCN3,daily,1,22,174787669.0,1.5590727856208209,[22.0]
TS,daily,0,18,3159450.0,2.4362610580955546,[18.0]
CCN3,daily,2,22,174787669.0,1.5590727856208209,[22.0]
FSNT,daily,0,14,3123179.0,2.843530261954246,[14.0]
LHFLX,daily,4,12,2888908.0,3.619439940628085,[12.0]
PRECC,daily,0,12,2637643.0,3.162337359528943,[12.0]
FLNT,daily,2,14,2607662.0,3.3037675128141606,[14.0]
TS,daily,1,18,3159450.0,2.4362610580955546,[18.0]
