variable,zfp_level
CCN3,100000
CLOUD,100000
FLNS,16
FLNT,20
FSNS,16
FSNT,18
LHFLX,18
PRECC,16
PRECL,18
PS,26
QFLX,18
SHFLX,18
TMQ,18
TS,24
U,22
