variable,zfp_level
CCN3,24
CLOUD,100000
FLNS,12
FLNT,16
FSNS,12
FSNT,14
LHFLX,12
PRECC,12
PRECL,14
PS,20
QFLX,12
SHFLX,14
TMQ,14
TS,20
U,18
