variable,zfp_level
CCN3,20
CLOUD,100000
FLNS,10
FLNT,12
FSNS,10
FSNT,10
LHFLX,8
PRECC,10
PRECL,10
PS,16
QFLX,8
SHFLX,10
TMQ,10
TS,16
U,14

