,precision,recall,f1-score,support
0,0.000,0.000,0.000,4.000
1,0.000,0.000,0.000,419.000
2,0.319,1.000,0.484,1865.000
3,0.000,0.000,0.000,1700.000
4,0.000,0.000,0.000,375.000
5,0.000,0.000,0.000,17.000
6,0.000,0.000,0.000,720.000
7,0.000,0.000,0.000,30.000
8,0.000,0.000,0.000,710.000
accuracy,0.319,0.319,0.319,0.319
macro avg,0.035,0.111,0.054,5840.000
weighted avg,0.102,0.319,0.155,5840.000
