variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
TS,daily,36,10,,,[10.0]
U,daily,58,5,,,[5.0]
SHFLX,daily,30,4,,,[4.0]
TMQ,daily,39,5,,,[5.0]
TS,daily,37,10,,,[10.0]
TMQ,daily,40,5,,,[5.0]
TS,daily,38,10,,,[10.0]
U,daily,59,5,,,[5.0]
TMQ,daily,41,5,,,[5.0]
SHFLX,daily,31,4,,,[4.0]
TMQ,daily,42,5,,,[5.0]
TS,daily,39,10,,,[10.0]
SHFLX,daily,32,4,,,[4.0]
TS,daily,40,9,,,[9.0]
TMQ,daily,43,5,,,[5.0]
SHFLX,daily,33,3,,,[3.0]
TS,daily,41,9,,,[9.0]
TMQ,daily,44,5,,,[5.0]
SHFLX,daily,34,3,,,[3.0]
TS,daily,42,9,,,[9.0]
SHFLX,daily,35,3,,,[3.0]
TMQ,daily,45,5,,,[5.0]
TS,daily,43,9,,,[9.0]
TMQ,daily,46,5,,,[5.0]
TS,daily,44,9,,,[9.0]
SHFLX,daily,36,3,,,[3.0]
TMQ,daily,47,5,,,[5.0]
TS,daily,45,10,,,[10.0]
SHFLX,daily,37,3,,,[3.0]
TMQ,daily,48,5,,,[5.0]
TS,daily,46,9,,,[9.0]
TMQ,daily,49,5,,,[5.0]
TS,daily,47,10,,,[10.0]
SHFLX,daily,38,3,,,[3.0]
TMQ,daily,50,5,,,[5.0]
TS,daily,48,10,,,[10.0]
SHFLX,daily,39,4,,,[4.0]
TMQ,daily,51,5,,,[5.0]
TS,daily,49,10,,,[10.0]
SHFLX,daily,40,4,,,[4.0]
TMQ,daily,52,5,,,[5.0]
TS,daily,50,10,,,[10.0]
TMQ,daily,53,5,,,[5.0]
SHFLX,daily,41,4,,,[4.0]
TS,daily,51,10,,,[10.0]
SHFLX,daily,42,4,,,[4.0]
TMQ,daily,54,5,,,[5.0]
TS,daily,52,10,,,[10.0]
TS,daily,53,9,,,[9.0]
SHFLX,daily,43,4,,,[4.0]
TMQ,daily,55,5,,,[5.0]
TS,daily,54,9,,,[9.0]
SHFLX,daily,44,4,,,[4.0]
TS,daily,55,9,,,[9.0]
TMQ,daily,56,5,,,[5.0]
SHFLX,daily,45,3,,,[3.0]
TS,daily,56,10,,,[10.0]
TMQ,daily,57,5,,,[5.0]
SHFLX,daily,46,4,,,[4.0]
TS,daily,57,10,,,[10.0]
TMQ,daily,58,5,,,[5.0]
SHFLX,daily,47,3,,,[3.0]
TS,daily,58,9,,,[9.0]
TMQ,daily,59,5,,,[5.0]
TS,daily,59,9,,,[9.0]
SHFLX,daily,48,4,,,[4.0]
SHFLX,daily,49,3,,,[3.0]
SHFLX,daily,50,3,,,[3.0]
SHFLX,daily,51,4,,,[4.0]
SHFLX,daily,52,3,,,[3.0]
SHFLX,daily,53,3,,,[3.0]
SHFLX,daily,54,3,,,[3.0]
SHFLX,daily,55,3,,,[3.0]
SHFLX,daily,56,3,,,[3.0]
SHFLX,daily,57,3,,,[3.0]
SHFLX,daily,58,3,,,[3.0]
SHFLX,daily,59,3,,,[3.0]
