variable,frequency,8,10,12,14,16,18,20,22,24
FLUT,daily,0,0,0,0,60,0,0,0,0
LHFLX,daily,0,0,33,26,1,0,0,0,0
PRECT,daily,0,0,14,43,2,1,0,0,0
TAUX,daily,0,0,14,46,0,0,0,0,0
TS,daily,0,0,0,0,0,0,52,8,0
Z500,daily,0,0,0,0,0,0,0,59,1
FLNS,monthly,0,0,0,59,1,0,0,0,0
FLNT,monthly,0,0,0,0,4,56,0,0,0
FSNS,monthly,0,0,0,60,0,0,0,0,0
FSNT,monthly,0,0,0,12,47,1,0,0,0
LHFLX,monthly,0,0,0,60,0,0,0,0,0
PRECC,monthly,0,0,9,51,0,0,0,0,0
PRECL,monthly,0,0,0,57,3,0,0,0,0
PS,monthly,0,0,0,0,0,0,0,47,13
QFLX,monthly,0,0,0,58,1,1,0,0,0
SHFLX,monthly,0,0,0,35,25,0,0,0,0
TMQ,monthly,0,0,0,0,57,3,0,0,0
TS,monthly,0,0,0,0,0,0,35,25,0
